id,pet_name,service,submission_date,provider_id,unit,authstatus,auto_approved,clinical_reviewer,pet_id
014c6aa2-9afa-4243-8707-f0ffd424519a,Ranger,Dental Cleaning,2023-11-03 14:26:19,1017,1,Denied,FALSE,,PET-3385
01561ffd-4571-4c90-8cba-9f253bbbf3ca,Blaze,Surgery,2023-10-22 14:26:19,1014,1,Approved,FALSE,,PET-7235
018884ef-0aaf-4123-8113-b9fef50e5999,Spike,Check-up,2023-09-10 14:26:19,1006,1,Approved,FALSE,Milagros Sullivan,PET-8920
019e0f7f-4c3a-4ef5-b40a-f57590221ac1,Theo,X-ray,2024-04-16 14:26:19,1000,2,Denied,FALSE,Bruce Campbell,PET-4033
01b96405-d445-4b41-8a36-40ad3086557d,Rosie,Dental Cleaning,2024-03-19 14:26:19,1017,1,Denied,FALSE,,PET-4558
01c1bb19-2cf6-4e5c-b8a9-73a9726f2307,Toby,Lab Test,2023-12-06 14:26:19,1007,1,Approved,FALSE,Sarai Ramos,PET-9457
01e353ec-1899-47a9-b038-4f077393a28c,Polly,Dental Cleaning,2024-05-26 14:26:19,1019,1,Denied,FALSE,,PET-3718
020ce8e3-afd1-4c54-a31b-09544fc78917,Hank,Surgery,2024-02-25 14:26:19,1014,1,Denied,FALSE,,PET-7970
020f0bb8-0f52-40cf-8200-4378b2500b0a,Guy,Surgery,2023-10-14 14:26:19,1006,1,Denied,FALSE,,PET-8432
02159f83-98f9-4d10-abc2-af20a5f62766,Apollo,Check-up,2024-02-20 14:26:19,1017,1,Approved,TRUE,,PET-2855
0215ae2f-a021-4c4d-83ff-5bf1cddd495c,Kobe,Check-up,2023-09-12 14:26:19,1008,1,Approved,TRUE,Kaylee Wiley,PET-8939
02321170-9cb0-4fb8-a1bc-0d2a9c443b64,Milo,Dental Cleaning,2024-04-23 14:26:19,1004,1,Approved,FALSE,,PET-6319
0242556c-5e50-488f-8a90-760592eef5e9,Max,Vaccination,2024-06-18 14:26:19,1018,1,Approved,FALSE,,PET-1164
02435be9-6aa3-47ef-91be-6ffbd46575da,Bo,Vaccination,2023-11-16 14:26:19,1015,1,Approved,FALSE,,PET-8086
02616db0-7d5d-4fb2-ac56-94858c81ad49,Sparky,Check-up,2024-05-05 14:26:19,1017,1,Approved,FALSE,Macey Rojas,PET-3445
0271a541-f35f-4136-9b5e-4899451bff7c,Apollo,Check-up,2024-06-03 14:26:19,1004,1,Approved,TRUE,,PET-2855
027eebce-c910-4348-a235-88a7ed20a041,Rover,Check-up,2024-06-24 14:26:19,1018,1,Approved,FALSE,Kristen Rowe,PET-4015
0285cc5a-6bad-4eca-8d71-d48a25d24920,Rocky,Vaccination,2024-05-11 14:26:19,1013,4,Approved,TRUE,,PET-9898
028d6125-7667-422d-9f07-8b8d210584e6,Jasper,X-ray,2024-06-07 14:26:19,1007,1,Denied,FALSE,,PET-3458
02d05a50-85a4-48a8-9cf3-2a967ceb207d,Finn,Surgery,2023-12-06 14:26:19,1015,1,Approved,FALSE,,PET-9522
02d098ec-3632-41a3-9607-8d5da20b107b,Dexter,Lab Test,2024-05-14 14:26:19,1015,3,Denied,FALSE,,PET-5104
02d17a70-eb74-45e8-8674-11b3795bbaff,Luna,Lab Test,2024-03-06 14:26:19,1004,2,Pending,FALSE,,PET-1228
02e5f3fd-3e09-4d8f-a723-2838603f3b39,Missy,X-ray,2023-12-22 14:26:19,1001,1,Denied,FALSE,,PET-5837
02f59ea8-c8ea-4234-8c6f-1eac85a15100,Loki,Vaccination,2023-08-21 14:26:19,1008,3,Approved,TRUE,Malachi Clements,PET-3482
0306b974-5e28-4bed-b0de-800b6083ee1d,Samantha,Surgery,2023-09-06 14:26:19,1012,1,Denied,FALSE,,PET-8384
03127a62-96dd-43b4-9c51-02a7a54fb2c1,Wayne,X-ray,2024-01-01 14:26:19,1000,3,Approved,TRUE,,PET-7427
031e088f-2d9e-49fa-acaf-d081d165928e,Bear,Surgery,2024-06-15 14:26:19,1009,1,Approved,FALSE,,PET-5946
0392f3b2-5017-4557-801e-68c9a0376173,Zorro,Vaccination,2023-12-27 14:26:19,1005,1,Pending,FALSE,,PET-9572
0398ce1d-0f98-4417-99c5-bfed3ce36952,Bandit,Vaccination,2023-10-17 14:26:19,1017,4,Denied,FALSE,Sarai Ramos,PET-8832
03d4970a-969b-40f6-8c04-f55b22a8b0a5,Juno,Dental Cleaning,2024-02-26 14:26:19,1013,1,Denied,FALSE,Hannah Roach,PET-6662
03f7c2d6-3d6d-4011-924f-3a98cdaae6e2,Nina,Check-up,2024-07-31 14:26:19,1013,1,Approved,TRUE,,PET-5378
04027c85-bc33-473e-84cd-cfd416dd29c7,Frankie,Dental Cleaning,2024-01-10 14:26:19,1006,1,Approved,FALSE,,PET-8466
040c76d3-c625-41ad-a0dc-b36ff95091fe,Jasper,Check-up,2024-01-17 14:26:19,1006,1,Approved,FALSE,Wendy French,PET-3458
040ccdde-d91d-427d-8d29-9194a331e24d,Milo,Lab Test,2023-12-08 14:26:19,1016,3,Approved,FALSE,,PET-6319
040e8331-ee4a-432b-8e45-c3753f0ce4d9,Marley,Vaccination,2024-04-18 14:26:19,1010,1,Approved,TRUE,,PET-1207
0420e97f-ebea-4c16-a72d-7be007896f86,Bodhi,X-ray,2024-06-13 14:26:19,1002,2,Denied,FALSE,Braylon Brady,PET-6030
0451585c-2a09-48f3-85eb-722ba05b86c2,Zara,X-ray,2024-08-12 14:26:19,1010,3,Denied,FALSE,,PET-6607
04791742-db88-4614-9250-5666a17c89a7,Nina,Dental Cleaning,2024-03-29 14:26:19,1003,1,Approved,FALSE,,PET-5378
048cf3bb-6f2e-40bf-af20-efd764eed0ef,Bruno,Surgery,2024-03-26 14:26:19,1018,1,Denied,FALSE,,PET-5992
048f70f1-7c0d-41ca-84fd-e931ac3ef312,Bubbles,Dental Cleaning,2023-11-23 14:26:19,1009,1,Approved,FALSE,,PET-8361
04b76267-331c-48ac-ba8e-1290e752cbbc,Violet,Check-up,2023-10-19 14:26:19,1014,1,Approved,FALSE,,PET-5095
04c63f23-477b-4f1d-b0c4-7cd8740fa487,Lucy,X-ray,2023-10-10 14:26:19,1015,3,Approved,TRUE,,PET-1491
04d213df-857d-459b-83f0-876778de6c3c,Stella,X-ray,2024-03-15 14:26:19,1019,1,Denied,FALSE,,PET-7388
051193b1-6ab1-44b1-a3c3-161718f3b417,Maverick,Vaccination,2023-11-03 14:26:19,1017,2,Approved,FALSE,,PET-2961
05141055-a07f-48d3-be88-d0320b943547,Pinto,Dental Cleaning,2024-08-06 14:26:19,1006,1,Denied,FALSE,Alisson Hardin,PET-8108
051b3514-65f6-418e-aa48-a0d67fc3c6a0,Gizmo,Vaccination,2024-05-14 14:26:19,1015,2,Denied,FALSE,,PET-8971
052fbe48-8f6d-4145-b675-a0ee42141ff1,Cash,Dental Cleaning,2023-11-03 14:26:19,1000,1,Approved,FALSE,,PET-7789
05366d88-a79b-48c4-9811-20858d228e72,Rusty,Surgery,2023-12-27 14:26:19,1006,1,Approved,FALSE,Efrain Rowland,PET-4113
0541760b-7736-4363-8fc5-2b1a08a860fa,Simba,Dental Cleaning,2024-05-11 14:26:19,1018,1,Denied,FALSE,Quincy Winters,PET-2180
0553c3e4-a29e-49bc-8975-fae822e02f5a,Missy,X-ray,2024-01-13 14:26:19,1003,2,Denied,FALSE,Kristen Rowe,PET-5837
055c8ee1-ca44-4c62-a060-8569271c7e39,Blue,Check-up,2024-01-18 14:26:19,1013,1,Approved,FALSE,,PET-4079
0563d9ea-71d7-45d1-b702-c3cf76e2f2ce,Leo,Check-up,2024-07-24 14:26:19,1018,1,Approved,TRUE,,PET-1546
05a78f91-e097-48b5-90ff-cf7c45108c97,Marley,Lab Test,2023-10-24 14:26:19,1009,3,Denied,FALSE,,PET-1207
05bf96b1-fb9a-4714-81e7-12da9f29d7b5,Tank,Vaccination,2023-10-13 14:26:19,1019,2,Approved,FALSE,,PET-8247
05c66922-64f7-4038-8553-0e8d635bc329,Marley,Surgery,2023-10-31 14:26:19,1013,1,Approved,TRUE,,PET-1207
05c80525-19b3-4545-b0c0-91ab7ce35d9e,Bubbles,Dental Cleaning,2024-05-16 14:26:19,1001,1,Approved,FALSE,,PET-8361
05ca9941-11c3-4eb9-8832-4b7878589dea,Mocha,Check-up,2024-05-06 14:26:19,1015,1,Approved,TRUE,Kristen Rowe,PET-9039
05ccab1c-c43b-425e-84eb-e1678df95268,Cash,Vaccination,2024-01-27 14:26:19,1012,3,Approved,FALSE,,PET-7789
05eac481-e375-4b9d-9fb4-69ad88e16d10,Apollo,Check-up,2024-07-14 14:26:19,1008,1,Approved,TRUE,,PET-2855
05f68964-7450-4491-86f1-46174fd55b04,Odin,Lab Test,2024-03-21 14:26:19,1016,2,Denied,FALSE,,PET-4071
0619454c-1f6b-4ca0-9c18-6c790cc7550b,Polly,Lab Test,2023-10-09 14:26:19,1000,3,Approved,TRUE,,PET-3718
06398da0-a4cc-4275-b52e-8be7b24c7287,Lucy,Check-up,2024-08-17 14:26:19,1019,1,Approved,FALSE,,PET-1491
063e19bb-5546-49e0-884e-71f01026f0dc,Jet,Check-up,2024-04-16 14:26:19,1008,1,Approved,TRUE,,PET-4169
064915cb-70d3-43cc-b25d-636f3fdc35aa,Koda,Lab Test,2023-12-16 14:26:19,1017,3,Pending,FALSE,Quincy Winters,PET-5933
065450d0-c6e4-4274-b0d5-118e08374fd3,Sparky,Check-up,2023-09-23 14:26:19,1007,1,Approved,TRUE,Hugo Christensen,PET-3445
06617d9e-4618-4f43-ad2a-bde9b2533c62,Frankie,Dental Cleaning,2023-10-20 14:26:19,1019,1,Approved,FALSE,,PET-8466
068fb702-534b-449c-afc9-e443f54a65c4,Bandit,Check-up,2023-09-14 14:26:19,1016,1,Approved,TRUE,,PET-8832
06c0a81e-e0de-45e2-9a8b-505dcaede711,Rover,Surgery,2024-04-21 14:26:19,1009,1,Approved,FALSE,Miguel Odonnell,PET-4015
06d95a2a-b6a6-4cdf-8eea-044b412280d2,Riley,Vaccination,2023-11-20 14:26:19,1006,2,Approved,TRUE,Leyla Humphrey,PET-6796
06e14346-2445-4488-85cd-37e28e6a69ba,Gunther,X-ray,2024-08-01 14:26:19,1020,3,Denied,FALSE,,PET-1854
070ff79c-b8f6-4136-aafd-0ca2f4bb6ba8,Junior,Check-up,2024-01-07 14:26:19,1010,1,Approved,TRUE,Jasmin Cummings,PET-5688
071573a7-7342-4116-a61d-05822e755420,Piper,Dental Cleaning,2024-06-17 14:26:19,1018,1,Denied,FALSE,Kaylee Wiley,PET-2756
0732cd64-fdca-4cbf-b305-23e740cfc720,Polly,Dental Cleaning,2024-06-08 14:26:19,1003,1,Denied,FALSE,Milagros Sullivan,PET-3718
07728e85-4909-44fc-a3e3-bab4edad2024,Whiskey,Vaccination,2024-04-17 14:26:19,1013,3,Approved,FALSE,Sebastian Daniel,PET-4638
0772cf14-604c-4fba-b9fb-b49d8346044a,Maya,Lab Test,2023-10-01 14:26:19,1016,3,Approved,TRUE,,PET-1776
07883256-c9df-4e23-ae4b-c2f13b3bf9d1,Shadow,Dental Cleaning,2023-08-23 14:26:19,1011,1,Denied,FALSE,,PET-9286
079e151c-13e4-4b24-996e-37116824aaf1,Titan,Vaccination,2023-11-05 14:26:19,1018,2,Approved,TRUE,,PET-2829
07a8f38e-1fca-46b1-bb98-e72a7220c1a7,Fifi,Check-up,2024-07-02 14:26:19,1018,1,Approved,TRUE,,PET-9302
07b87f4e-2ee8-4e52-a00a-5a27afd0da5c,Blue,Check-up,2023-10-16 14:26:19,1014,1,Approved,TRUE,,PET-4079
07f9fb0f-d88a-4433-8c0b-35713e876ea5,Scout,Check-up,2024-07-27 14:26:19,1005,1,Approved,FALSE,,PET-7041
07fa4437-a700-44b3-949a-eb96470b0def,Rusty,Vaccination,2023-11-22 14:26:19,1013,3,Approved,FALSE,,PET-4113
0806cb98-40e3-4f63-8c42-8c3adf863946,Milo,X-ray,2024-02-17 14:26:19,1007,1,Approved,FALSE,,PET-6319
08078d60-c5b7-426a-9b42-ec2a50f4fa6c,Marley,Vaccination,2024-03-25 14:26:19,1020,2,Approved,FALSE,,PET-1207
080c59e4-ad7b-47b8-8925-a42a943c76c6,Blast,Dental Cleaning,2024-02-25 14:26:19,1004,1,Denied,FALSE,,PET-6626
0830e9b5-c361-473a-8b01-9fd3b556bc2c,Louie,Check-up,2023-09-02 14:26:19,1012,1,Approved,FALSE,,PET-8998
086744eb-2c01-4ee5-8fc2-5442305e7120,Nala,Check-up,2024-08-09 14:26:19,1018,1,Approved,FALSE,,PET-5189
08c731e9-37d6-4476-b59e-bcb195b7e0ef,Winnie,Vaccination,2023-09-06 14:26:19,1010,4,Approved,TRUE,,PET-6543
09061a03-6403-40b2-8a9d-50c0ff4a9c72,Axel,Check-up,2024-03-19 14:26:19,1001,1,Approved,FALSE,,PET-6020
091b3a8e-28de-4065-a348-c87544dd80e4,Blue,Dental Cleaning,2023-09-07 14:26:19,1011,1,Approved,FALSE,,PET-4079
096b5aa8-cdfd-4f72-97e7-98620f3985c2,Dexter,Check-up,2023-10-01 14:26:19,1010,1,Approved,FALSE,,PET-5104
099586c6-8ae9-4cac-8888-89ee4900b6eb,Benny,Check-up,2024-07-19 14:26:19,1014,1,Approved,FALSE,,PET-3955
09ba84ad-eb48-4ca5-aac7-8d41da4b5b8b,Cody,Dental Cleaning,2023-12-07 14:26:19,1017,1,Denied,FALSE,,PET-4454
09c9ce3e-d797-4e9b-a35b-08635ad356e6,Maverick,X-ray,2023-09-15 14:26:19,1016,2,Denied,FALSE,,PET-2961
09e90efa-f320-4155-9118-7bfcbb242274,Zeke,X-ray,2024-01-06 14:26:19,1002,3,Denied,FALSE,,PET-9565
09ebbec7-cf02-43a8-b1cf-6845609dfca9,Teddy,Lab Test,2023-12-17 14:26:19,1012,3,Approved,TRUE,,PET-6201
0a2aac68-f47a-4898-b4d4-fd5be6622e59,Odin,Surgery,2023-11-26 14:26:19,1002,1,Denied,FALSE,,PET-4071
0a4f0b06-a38a-4021-b597-b15acf887cfa,Zeus,Check-up,2023-10-16 14:26:19,1017,1,Approved,FALSE,London Ponce,PET-1392
0a6b6cf0-702e-462d-8e9e-6702f8e4e2d9,Gracie,X-ray,2023-09-01 14:26:19,1009,1,Denied,FALSE,,PET-5907
0a788445-bbee-4422-a0da-3a43a89ccd4a,Lou,X-ray,2024-06-03 14:26:19,1006,3,Approved,FALSE,,PET-3153
0a788785-1bf5-49f7-b538-c654e02a2936,Odin,Dental Cleaning,2024-08-10 14:26:19,1005,1,Approved,FALSE,,PET-4071
0a7e3c5d-8919-4266-b8c4-4b8f3a495988,Dixie,Dental Cleaning,2024-05-10 14:26:19,1007,1,Approved,FALSE,,PET-7730
0a8b8c68-3a6a-4519-bea0-116a2868d714,Max,Vaccination,2024-04-26 14:26:19,1006,4,Approved,TRUE,Markus Huber,PET-1164
0a9b3649-337c-4434-b3df-bda418df38b9,Frankie,X-ray,2024-04-06 14:26:19,1020,3,Approved,FALSE,,PET-8466
0a9fb80c-1af8-4d81-945f-aa6ea1964f1c,Jack,Dental Cleaning,2024-06-04 14:26:19,1020,1,Denied,FALSE,,PET-8903
0abdfbae-e480-4690-a10f-7a975c5e1774,Titan,Surgery,2024-01-23 14:26:19,1012,1,Approved,FALSE,,PET-2829
0ac6d160-5621-45f6-9c01-170f5b510f22,Gunner,Check-up,2023-11-18 14:26:19,1005,1,Approved,TRUE,,PET-2366
0ad2f5e8-b66c-40fa-a4d3-80054809ea72,Gunner,Dental Cleaning,2023-11-12 14:26:19,1002,1,Denied,FALSE,,PET-2366
0b0e0579-1fd1-4e35-b347-74f0ae633bb1,Zeus,Dental Cleaning,2024-03-19 14:26:19,1011,1,Approved,FALSE,,PET-1392
0b190214-c9c2-45cd-800e-ffd995223861,Bailey,Lab Test,2024-05-13 14:26:19,1006,3,Approved,FALSE,Milagros Washington,PET-8181
0b454248-0c69-4127-8cb3-36bde6c027eb,Gizmo,Check-up,2024-02-29 14:26:19,1019,1,Approved,FALSE,Ty Joseph,PET-8971
0b53954d-b6b6-456d-b219-9b16767c9496,Bandit,Dental Cleaning,2023-12-01 14:26:19,1001,1,Denied,FALSE,,PET-8832
0b71613f-0bf2-4832-8dc3-ebd8015b636f,Lou,Dental Cleaning,2024-08-18 14:26:19,1018,1,Approved,FALSE,Malachi Clements,PET-3153
0b791d07-9cae-4251-a260-21a2cabeacf8,Thor,Check-up,2024-05-20 14:26:19,1011,1,Approved,FALSE,,PET-9060
0b8eb53c-5dc6-4f50-91d6-10e0e81d53e4,Titan,Check-up,2024-06-20 14:26:19,1014,1,Approved,FALSE,,PET-2829
0ba2a9c1-014a-438e-a70c-1148d9c32a0c,Zeus,X-ray,2024-06-11 14:26:19,1006,1,Denied,FALSE,,PET-1392
0bbfe14b-0e21-4549-97e0-34b3d62f5330,Maverick,X-ray,2024-01-09 14:26:19,1014,3,Denied,FALSE,Efrain Rowland,PET-2961
0bf43a93-590d-4c14-8747-17bdd38c494f,Nina,Vaccination,2023-10-26 14:26:19,1011,3,Approved,FALSE,,PET-5378
0c0c841b-7b22-4a4c-bb13-460135e831a2,Penny,Dental Cleaning,2024-06-05 14:26:19,1001,1,Denied,FALSE,,PET-1494
0c1670df-98bf-4433-9a7c-ebd3da06f701,Pinto,X-ray,2024-03-06 14:26:19,1014,3,Denied,FALSE,Milagros Washington,PET-8108
0c274070-58fb-43b5-927a-2571676d94e1,Polly,Vaccination,2024-04-22 14:26:19,1001,4,Approved,FALSE,,PET-3718
0c2e86ed-f5b6-4c49-9fcb-c40eb7523c0a,Apollo,Check-up,2023-12-13 14:26:19,1009,1,Approved,FALSE,,PET-2855
0c371997-dbe2-4095-9c8f-c04f224ae120,Cleopatra,Lab Test,2024-07-18 14:26:19,1010,2,Approved,FALSE,Jasmin Cummings,PET-7204
0c3734c0-98d7-4b51-bc63-907b6c183915,Kobe,Check-up,2024-08-15 14:26:19,1018,1,Approved,TRUE,Macey Rojas,PET-8939
0c5a4a22-f8c7-47ab-b9a6-d7611fcf5491,Simba,Lab Test,2023-10-22 14:26:19,1006,3,Approved,FALSE,,PET-2180
0c846b34-64e8-4b88-ac72-a14a32f7a312,Bubbles,Vaccination,2024-04-04 14:26:19,1008,1,Approved,FALSE,,PET-8361
0c9b927e-a797-48e5-9c7b-9760d8965fbf,Sadie,Check-up,2023-12-26 14:26:19,1007,1,Approved,FALSE,,PET-6223
0cc536a0-1807-4da5-8c77-fb3cc32650e0,Whiskey,X-ray,2023-08-20 14:26:19,1008,3,Denied,FALSE,,PET-4638
0ccfb8db-6ff7-4e15-950b-16c948e6b5e6,Nala,Check-up,2023-11-17 14:26:19,1006,1,Approved,FALSE,,PET-5189
0cdca672-dab2-49f4-bfbc-827adfbb4724,Diesel,Check-up,2024-06-07 14:26:19,1000,1,Approved,TRUE,,PET-8863
0ce34c8f-3532-4543-8e88-bce5964a1b6e,Hunter,Dental Cleaning,2024-05-12 14:26:19,1010,1,Denied,FALSE,,PET-6270
0d25589f-7e1e-42ab-902d-785ce2114128,Pepper,Check-up,2023-11-29 14:26:19,1001,1,Denied,FALSE,Leah Duncan,PET-5793
0d2a1ca5-1a72-4291-a6ed-552744aa4ae1,Sissy,Dental Cleaning,2023-12-31 14:26:19,1004,1,Approved,FALSE,,PET-2273
0d3d78ab-81b1-42a2-ab32-66c2b3fdf7e4,Kai,Check-up,2024-02-28 14:26:19,1008,1,Approved,FALSE,,PET-3909
0d45c416-e471-4931-bfa1-edd8a3892492,Jet,Surgery,2024-03-18 14:26:19,1006,1,Approved,FALSE,,PET-4169
0d47bd5a-ab2e-4e0f-a671-980919fd19ae,Maya,Vaccination,2023-11-19 14:26:19,1019,4,Denied,FALSE,,PET-1776
0d94ba64-4039-4fea-adbc-c7ad2a63a764,Ziggy,Check-up,2024-04-28 14:26:19,1018,1,Approved,TRUE,,PET-2447
0d9e8e66-df1a-4820-8407-dbceacf3e06b,Ranger,X-ray,2024-01-13 14:26:19,1000,2,Denied,FALSE,,PET-3385
0d9fbda9-54d1-44b3-b6b5-d1ac7b1ca4f7,Thor,Dental Cleaning,2024-05-25 14:26:19,1013,1,Denied,FALSE,,PET-9060
0dc7df6d-fd47-4542-96b8-fcfcd4d3a9eb,Teddy,Dental Cleaning,2024-02-15 14:26:19,1005,1,Approved,FALSE,,PET-6201
0ddcd732-e97f-4241-9927-1c8fa9f0fc3d,Tank,X-ray,2024-05-05 14:26:19,1003,2,Approved,TRUE,,PET-8247
0dffea07-40bf-4584-a3fd-abcc3711c378,Jax,X-ray,2024-02-11 14:26:19,1014,3,Pending,FALSE,,PET-4070
0e1e21fc-0d86-43c2-be30-5579ae64e69c,Bodhi,Dental Cleaning,2024-04-09 14:26:19,1008,1,Denied,FALSE,Sebastian Daniel,PET-6030
0e26258b-9add-47d5-88d6-f7904fde593b,Sage,Check-up,2024-07-23 14:26:19,1001,1,Approved,TRUE,Macey Rojas,PET-7137
0e27a51f-c811-464a-bca5-4427a4087cce,Rocco,X-ray,2023-09-11 14:26:19,1015,1,Approved,FALSE,,PET-9904
0e2916fa-408c-41ca-8552-ab39b1d4111c,Jack,Check-up,2024-08-18 14:26:19,1016,1,Approved,FALSE,,PET-8903
0e2b0b44-22b8-48ac-9571-cb284158de15,Violet,X-ray,2023-11-15 14:26:19,1012,2,Approved,FALSE,,PET-5095
0e4c8b3c-3564-403e-9cba-e8d95545f3c3,Frankie,Check-up,2023-11-26 14:26:19,1012,1,Approved,FALSE,,PET-8466
0e7fa4d8-24d9-4763-9d57-b398852772e5,Axel,Check-up,2023-10-12 14:26:19,1004,1,Approved,FALSE,,PET-6020
0ec869cc-1d2a-4dd9-abc2-7f7892ce8fd3,Roxy,Dental Cleaning,2024-03-22 14:26:19,1012,1,Denied,FALSE,,PET-4027
0ee14d8e-ee2a-4276-bd16-566e97a99a04,Frankie,Dental Cleaning,2024-08-12 14:26:19,1005,1,Approved,FALSE,,PET-8466
0f0d1e20-5745-4e75-a1af-00c2c5419f7d,Holly,Surgery,2023-10-05 14:26:19,1018,1,Denied,FALSE,,PET-7597
0f0d3cdc-80cf-4fcc-a98d-5c4ab869a3c6,Jasper,Check-up,2024-05-15 14:26:19,1010,1,Approved,FALSE,Alisson Hardin,PET-3458
0f1214e0-5f58-47a3-b561-963788a475a1,Peanut,Surgery,2024-04-19 14:26:19,1012,1,Approved,FALSE,Markus Huber,PET-8436
0f1a8190-1b81-4584-8e5f-faee8ee10d90,Spike,Surgery,2024-06-23 14:26:19,1018,1,Pending,FALSE,Azul Acosta,PET-8920
0f22a53a-d598-4fdd-bdca-2a750f0d6fd9,Loki,Check-up,2024-06-08 14:26:19,1014,1,Approved,TRUE,,PET-3482
0f3a7f08-a80d-419f-a8cd-b3816429c358,Riley,Dental Cleaning,2024-03-23 14:26:19,1005,1,Denied,FALSE,,PET-6796
0f5be6db-b91f-48bc-abd3-94eac1675d30,Odie,X-ray,2024-01-03 14:26:19,1009,2,Approved,FALSE,,PET-2475
0f681793-0d4b-4ce5-b3ad-845811d79567,Finn,X-ray,2024-02-08 14:26:19,1003,2,Denied,FALSE,,PET-9522
0f7e60e4-052d-4989-bcc5-e155f9d5e4f1,Zorro,Check-up,2023-11-14 14:26:19,1007,1,Approved,FALSE,Miguel Odonnell,PET-9572
0f9f09ec-4bd6-4e34-8395-5ee07379bcca,Blue,X-ray,2024-01-29 14:26:19,1005,3,Approved,TRUE,,PET-4079
0fb83905-9e23-493e-b44c-1033793deec9,Odin,Check-up,2023-10-02 14:26:19,1018,1,Approved,FALSE,,PET-4071
0fbd0eea-a1f5-447c-824d-8c77896f3cf9,Luna,X-ray,2024-07-18 14:26:19,1017,2,Denied,FALSE,,PET-1228
10083ee8-5c9e-4451-97d3-50ccab513fec,Maggie,Lab Test,2024-01-11 14:26:19,1004,3,Approved,TRUE,Malachi Clements,PET-5981
10279dfc-ebcc-48d9-8b91-14ce0a1ea13f,Winnie,Vaccination,2024-05-13 14:26:19,1005,3,Approved,TRUE,,PET-6543
1033b602-cdb7-4d90-8512-84c2479f9b24,Thor,Check-up,2023-09-04 14:26:19,1002,1,Approved,TRUE,Sebastian Daniel,PET-9060
1035f4a7-e30e-4334-ad4e-bb36a741d2c3,Zeke,Surgery,2024-07-28 14:26:19,1017,1,Approved,FALSE,Kaylee Wiley,PET-9565
10360ddb-8e52-4cd0-980d-9502e5c9908f,Axel,Check-up,2024-07-19 14:26:19,1015,1,Approved,FALSE,Malachi Clements,PET-6020
104674d0-feb6-4737-8ca0-99167d9587c2,Simba,Check-up,2024-01-04 14:26:19,1007,1,Approved,FALSE,,PET-2180
